Campus,Program,Cut-off Score
Pilani,B.E. Chemical,224
Pilani,B.E. Civil,213
Pilani,B.E. Electrical & Electronics,272
Pilani,B.E. Mechanical,244
Pilani,B.E. Computer Science,329
Pilani,B.E. Electronics & Instrumentation,266
Pilani,B.E. Electronics & Communication,296
Pilani,B.E. Manufacturing,220
Pilani,B. Pharm,153
Pilani,M.Sc. Biological Sciences,212
Pilani,M.Sc. Chemistry,213
Pilani,M.Sc. Economics,257
Pilani,M.Sc. Mathematics,236
Pilani,M.Sc. Physics,235
Goa,B.E. Chemical,209
Goa,B.E. Electrical & Electronics,252
Goa,B.E. Mechanical,223
Goa,B.E. Computer Science,295
Goa,B.E. Electronics & Instrumentation,244
Goa,B.E. Electronics & Communication,267
Goa,M.Sc. Biological Sciences,204
Goa,M.Sc. Chemistry,205
Goa,M.Sc. Economics,239
Goa,M.Sc. Mathematics,221
Goa,M.Sc. Physics,222
Hyderabad,B.E. Chemical,207
Hyderabad,B.E. Civil,204
Hyderabad,B.E. Electrical & Electronics,251
Hyderabad,B.E. Mechanical,218
Hyderabad,B.E. Computer Science,284
Hyderabad,B.E. Electronics & Instrumentation,244
Hyderabad,B.E. Electronics & Communication,265
Hyderabad,B. Pharm,135
Hyderabad,M.Sc. Biological Sciences,204
Hyderabad,M.Sc. Chemistry,205
Hyderabad,M.Sc. Economics,236
Hyderabad,M.Sc. Mathematics,219
Hyderabad,M.Sc. Physics,219
